trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-51.82215206776174,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-226.00665200139764,"{0: 12, 1: 2, 2: 5, 3: 3, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-152.56699572557886,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-196.85280182189345,"{0: 11, 1: 3, 2: 6, 3: 3, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-109.57913832558951,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-102.20079376018776,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,9,-24.634104123131916,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-49.17067776900747,"{0: 24, 1: 4, 2: 0, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-106.20263559468015,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-135.9336877639158,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,0,-79.05130063503117,"{0: 26, 1: 2, 2: 5, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,1,-96.38422331824347,"{0: 22, 1: 2, 2: 2, 3: 1, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-136.092522524576,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,19,18.473822085066093,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-98.01157856890771,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-68.43855316591512,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-68.44683584502198,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,4,-31.016627179758462,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,6,-36.244190805175364,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-32.153232618975515,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,16,8.336091438651211,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,-34.655179675046284,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,17.85650325656153,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-123.00815280355017,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",20,0,-31.84455609315934,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-175.2269045905486,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",20,0,-24.437657482481516,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-12.124867084934468,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,11.202408508561957,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-25.113807840982716,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
