trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999995500003375}",25,3,-160.43533048517602,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 3}",1
2,False,"{'a': 0.5, 'e': 0.999982000054}",20,4,-73.04923224902763,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.9999595002733742}",25,15,-9.576290568086122,"{0: 6, 1: 4, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.9999280008639958}",25,1,-120.80594521121023,"{0: 11, 1: 7, 2: 4, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.9998875021093592}",20,10,-59.59806561437301,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.9998380043739528}",35,20,-15.247530223653708,"{0: 10, 1: 3, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.9997795081032559}",20,10,-6.861675218377707,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.9997120138237345}",25,15,-18.43186105429456,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.9996355221428369}",20,7,-11.13877920434551,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.9995500337489875}",35,5,-112.63775606484974,"{0: 18, 1: 8, 2: 2, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.9994555494115813}",25,13,-54.3577032393483,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.9993520699809768}",20,1,-55.762017612236974,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.999239596388488}",20,0,-51.63145644892635,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9991181296463766}",25,5,-96.10998384075222,"{0: 8, 1: 7, 2: 4, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.9989876708478425}",30,9,-35.437713562345934,"{0: 13, 1: 5, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.9988482211670138}",20,7,-75.26973997574572,"{0: 7, 1: 3, 2: 1, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.9986997818589368}",20,6,-62.7501986801354,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.9985423542595644}",20,9,-3.637111472365298,"{0: 7, 1: 4, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.9983759397857438}",20,0,-83.760837421648,"{0: 10, 1: 6, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9982005399352042}",35,5,-120.78942703375392,"{0: 18, 1: 7, 2: 3, 3: 0, 4: 2}",1
21,False,"{'a': 0.5, 'e': 0.9980161562865429}",25,11,-66.66321695861313,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 1}",1
