trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-46.77516951879362,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-158.7719363147505,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,0,-100.8757102963008,"{0: 22, 1: 2, 2: 10, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-146.9305683128944,"{0: 15, 1: 5, 2: 2, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-284.60066899898266,"{0: 8, 1: 3, 2: 2, 3: 1, 4: 6}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-60.07966649575337,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.923659710891,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-73.55460178427005,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.9849013877004,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,16,-33.114746490417076,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.43058670516639,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.5356136611057,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-202.17376777513363,"{0: 18, 1: 3, 2: 4, 3: 2, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,11,-2.2494011824677913,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,8,-24.32127706769668,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.1908854228046,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.75818174126381,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.77658939046947,"{0: 18, 1: 1, 2: 1, 3: 3, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-139.77732382324243,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-71.78611182151367,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-8.608640010215476,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-167.20034726598058,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-74.05671712177858,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-174.89006415412638,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-171.1544135015859,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",35,0,-255.99003743311516,"{0: 17, 1: 7, 2: 6, 3: 1, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-162.56150843899746,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-94.17423376897312,"{0: 23, 1: 1, 2: 3, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-238.06780201861778,"{0: 10, 1: 2, 2: 8, 3: 2, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-106.94384285660183,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
